Rank,Title,Year,Rating,URL
208,The Truman Show,1998,8.1,/title/tt0120382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_208
209,Amores Perros,2000,8.1,/title/tt0245712/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_209
210,Butch Cassidy and the Sundance Kid,1969,8.1,/title/tt0064115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_210
211,Thor Ragnarok,2017,8.1,/title/tt3501632/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_211
212,Hachi: A Dog's Tale,2009,8.1,/title/tt1028532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_212
213,Before Sunrise,1995,8.1,/title/tt0112471/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_213
214,Nausicaä of the Valley of the Wind,1984,8.1,/title/tt0087544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_214
215,The Princess Bride,1987,8.1,/title/tt0093779/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_215
216,The Maltese Falcon,1941,8.0,/title/tt0033870/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_216
217,Prisoners,2013,8.0,/title/tt1392214/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_217
218,The Nights of Cabiria,1957,8.0,/title/tt0050783/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_218
219,Harry Potter and the Deathly Hallows: Part 2,2011,8.0,/title/tt1201607/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_219
220,Catch Me If You Can,2002,8.0,/title/tt0264464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_220
221,Paper Moon,1973,8.0,/title/tt0070510/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_221
222,Rocky,1976,8.0,/title/tt0075148/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_222
223,The Grapes of Wrath,1940,8.0,/title/tt0032551/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_223
224,Les Diaboliques,1955,8.0,/title/tt0046911/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_224
225,"Monsters, Inc",2001,8.0,/title/tt0198781/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_225
226,Touch of Evil,1958,8.0,/title/tt0052311/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_226
227,Gandhi,1982,8.0,/title/tt0083987/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_227
228,Donnie Darko,2001,8.0,/title/tt0246578/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_228
229,Barry Lyndon,1975,8.0,/title/tt0072684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_229
230,The Terminator,1984,8.0,/title/tt0088247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_230
231,Annie Hall,1977,8.0,/title/tt0075686/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_231
232,Groundhog Day,1993,8.0,/title/tt0107048/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_232
233,La Haine,1995,8.0,/title/tt0113247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_233
234,The Wizard of Oz,1939,8.0,/title/tt0032138/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_234
235,The Bourne Ultimatum,2007,8.0,/title/tt0440963/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_235
236,8½,1963,8.0,/title/tt0056801/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_236
237,Jaws,1975,8.0,/title/tt0073195/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_237
238,The Best Years of Our Lives,1946,8.0,/title/tt0036868/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_238
239,In the Mood for Love,2000,8.0,/title/tt0118694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_239
240,Infernal Affairs,2002,8.0,/title/tt0338564/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_240
241,Twelve Monkeys,1995,8.0,/title/tt0114746/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_241
242,Munna Bhai M,2003,8.0,/title/tt0374887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_242
243,The Help,2011,8.0,/title/tt1454029/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_243
244,Dead Poets Society,1989,8.0,/title/tt0097165/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_244
245,"Paris, Texas",1984,8.0,/title/tt0087884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_245
246,Beauty and the Beast,1991,8.0,/title/tt0101414/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_246
247,The Handmaiden,2016,8.0,/title/tt4016934/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_247
248,PK,2014,8.0,/title/tt2338151/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_248
249,Laputa: Castle in the Sky,1986,8.0,/title/tt0092067/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_249
250,Fanny and Alexander,1982,8.0,/title/tt0083922/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=01ARW3JEFG9RKW69KV86&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
