Rank,Title,Year,Rating,URL
50,X-Men: Dark Phoenix,2018,NA,https://www.imdb.com/title/tt6565702/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_50
51,The Killing of a Sacred Deer,2017,7.3,https://www.imdb.com/title/tt5715874/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_51
52,The Sound of Music,1965,8.0,https://www.imdb.com/title/tt0059742/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_52
53,Baby Driver,2017,7.7,https://www.imdb.com/title/tt3890160/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_53
54,Logan Lucky,2017,7.1,https://www.imdb.com/title/tt5439796/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_54
55,Ocean's 8,2018,NA,https://www.imdb.com/title/tt5164214/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_55
56,American Made,2017,7.2,https://www.imdb.com/title/tt3532216/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_56
57,Wonder Woman,2017,7.6,https://www.imdb.com/title/tt0451279/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_57
58,Hostiles,2017,7.2,https://www.imdb.com/title/tt5478478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_58
59,Daddy's Home 2,2017,6.2,https://www.imdb.com/title/tt5657846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_59
